,highly_variable
AC108488.4,False
RNASEH1,False
RNASEH1-AS1,False
RPS7,False
CMPK2,False
RSAD2,True
RNF144A,False
AC092580.4,False
ID2,True
KIDINS220,False
ITGB1BP1,False
CPSF3,False
IAH1,False
ADAM17,False
RP11-214N9.1,False
YWHAQ,False
TAF1B,True
RP11-254F7.2,True
KLF11,False
RRM2,True
HPCAL1,False
ODC1,False
NOL10,False
RN7SL832P,False
PDIA6,False
PQLC3,False
ROCK2,False
E2F6,False
LPIN1,False
TRIB2,False
NBAS,False
DDX1,False
FAM49A,False
SMC6,False
RDH14,False
LINC00954,False
TTC32,False
WDR35,True
LAPTM4A,False
PUM2,False
RHOB,True
HS1BP3,False
C2orf43,False
ATAD2B,False
UBXN2A,False
C2orf44,False
FKBP1B,False
SF3B14,False
FAM228B,False
TP53I3,False
ITSN2,False
NCOA1,False
PTRHD1,False
ADCY3,False
DNAJC27,False
DNAJC27-AS1,False
POMC,False
DNMT3A,False
DTNB,False
ASXL2,False
AC013449.1,False
RAB10,False
HADHA,False
HADHB,False
EPT1,False
SLC35F6,False
MAPRE3,False
TMEM214,False
AGBL5,False
OST4,False
KHK,False
PREB,False
SLC5A6,False
ATRAID,False
CAD,False
MPV17,False
GTF3C2,False
EIF2B4,False
SNX17,False
ZNF513,False
PPM1G,False
NRBP1,False
KRTCAP3,False
ZNF512,False
GPN1,False
SUPT7L,False
SLC4A1AP,False
MRPL33,False
RBKS,False
BRE,False
FOSL2,False
PLB1,False
PPP1CB,False
TRMT61B,False
WDR43,False
FAM179A,False
CLIP4,False
YPEL5,False
LBH,False
LCLAT1,False
EHD3,False
MEMO1,False
DPY30,False
SPAST,False
RP11-563N4.1,False
YIPF4,False
BIRC6,False
TTC27,True
RASGRP3,False
FAM98A,False
FEZ2,False
STRN,True
HEATR5B,True
GPATCH11,True
EIF2AK2,False
CEBPZ-AS1,False
CEBPZ,False
NDUFAF7,False
PRKD3,False
AC006369.2,False
CDC42EP3,False
RMDN2,False
ATL2,False
HNRNPLL,False
GALM,False
SRSF7,False
GEMIN6,False
DHX57,False
MORN2,False
SOS1,False
AC007246.3,False
THUMPD2,False
EML4,False
COX7A2L,False
MTA3,False
AC093609.1,False
THADA,False
ZFP36L2,False
AC010883.5,False
DYNC2LI1,False
LRPPRC,False
PPM1B,False
PREPL,False
CAMKMT,False
SRBD1,False
PRKCE,True
ATP6V1E2,False
RHOQ,True
PIGF,False
CRIPT,False
SOCS5,False
MCFD2,False
TTC7A,False
CALM2,False
MSH2,False
KCNK12,False
MSH6,False
FBXO11,False
FOXN2,False
RP11-191L17.1,False
PPP1R21,False
GPR75-ASB3,False
CHAC2,True
ERLEC1,True
PSME4,False
ACYP2,False
SPTBN1,False
RTN4,False
RPS27A,False
MTIF2,False
CCDC88A,False
AC012358.8,True
CCDC104,False
SMEK2,False
RP11-554J4.1,False
PNPT1,False
VRK2,False
FANCL,False
BCL11A,True
PAPOLG,False
REL,False
PUS10,True
PEX13,False
KIAA1841,False
C2orf74,False
AHSA2,False
USP34,False
RP11-355B11.2,False
XPO1,False
FAM161A,True
CCT4,False
COMMD1,False
B3GNT2,False
EHBP1,False
WDPCP,False
MDH1,False
UGP2,False
PELI1,False
AC074289.1,False
AFTPH,False
SERTAD2,False
SLC1A4,False
CEP68,False
RAB1A,False
ACTR2,False
ETAA1,False
C1D,False
WDR92,False
PNO1,False
PPP3R1,False
RP11-474G23.3,False
PLEK,True
FBXO48,False
ARHGAP25,False
GFPT1,False
NFU1,False
RP11-427H3.3,False
AAK1,False
ANXA4,False
GMCL1,False
SNRNP27,False
MXD1,False
PCBP1-AS1,False
PCBP1,False
C2orf42,False
TIA1,False
PCYOX1,False
SNRPG,False
FAM136A,False
TEX261,False
NAGK,False
RP11-467P9.1,False
MCEE,False
MPHOSPH10,False
PAIP2B,False
ZNF638,False
EXOC6B,False
SFXN5,True
RAB11FIP5,False
SMYD5,False
PRADC1,False
CCT7,False
FBXO41,False
ALMS1,False
TPRKB,False
DUSP11,False
STAMBP,True
DGUOK,False
DGUOK-AS1,False
BOLA3,False
MOB1A,False
MTHFD2,False
DCTN1,False
C2orf81,False
WDR54,False
INO80B,False
WBP1,False
MOGS,False
MRPL53,False
CCDC142,False
TTC31,False
PCGF1,False
AUP1,False
HTRA2,False
DOK1,False
SEMA4F,False
POLE4,False
MRPL19,False
GCFC2,False
SUCLG1,False
DNAH6,False
TRABD2A,False
TMSB10,False
KCMF1,False
TGOLN2,False
RETSAT,True
ELMOD3,False
CAPG,True
MAT2A,False
GGCX,False
VAMP8,False
VAMP5,False
RNF181,False
TMEM150A,False
USP39,False
C2orf68,False
GNLY,True
ST3GAL5,False
POLR1A,True
PTCD3,False
IMMT,False
RP11-301O19.1,False
MRPL35,True
KDM3A,False
CHMP3,False
RNF103,False
RMND5A,False
CD8A,True
CD8B,True
LINC00152,False
RP11-1399P15.1,True
KRCC1,False
EIF2AK3,False
AC062029.1,True
RPIA,False
MAL,False
MRPS5,False
ZNF514,False
ZNF2,True
FAHD2A,False
LINC00342,False
ANKRD36C,False
GPAT2,False
DUSP2,True
STARD7,False
TMEM127,False
CIAO1,False
SNRNP200,False
